10,-1.147444271
10.23292992,-1.216585275
10.47128548,-1.288499163
10.71519305,-1.363274122
10.96478196,-1.440999198
11.22018454,-1.521764113
11.48153621,-1.60565906
11.74897555,-1.692774477
12.02264435,-1.783200799
12.30268771,-1.877028193
12.58925412,-1.974346264
12.88249552,-2.075243745
13.18256739,-2.179808159
13.48962883,-2.288125461
13.80384265,-2.400279657
14.12537545,-2.516352395
14.45439771,-2.636422545
14.79108388,-2.760565745
15.13561248,-2.888853934
15.48816619,-3.021354867
15.84893192,-3.158131606
16.21810097,-3.299242003
16.59586907,-3.444738166
16.98243652,-3.594665916
17.37800829,-3.749064238
17.7827941,-3.907964727
18.19700859,-4.071391033
18.62087137,-4.239358318
19.05460718,-4.411872714
19.498446,-4.588930798
19.95262315,-4.770519092
20.41737945,-4.956613578
20.89296131,-5.147179254
21.3796209,-5.342169719
21.87761624,-5.541526807
22.38721139,-5.745180262
22.90867653,-5.953047476
23.44228815,-6.16503328
23.98832919,-6.381029803
24.54708916,-6.600916402
25.11886432,-6.824559663
25.70395783,-7.051813488
26.30267992,-7.282519254
26.91534804,-7.516506066
27.54228703,-7.753591086
28.18382931,-7.99357996
28.84031503,-8.23626732
29.51209227,-8.481437376
30.1995172,-8.728864594
30.90295433,-8.978314446
31.6227766,-9.229544238
32.35936569,-9.482304004
33.11311215,-9.736337469
33.88441561,-9.991383059
34.67368505,-10.24717496
35.48133892,-10.50344422
36.30780548,-10.75991987
37.15352291,-11.01633006
38.01893963,-11.27240322
38.9045145,-11.52786922
39.81071706,-11.78246048
40.73802778,-12.0359131
41.68693835,-12.28796793
42.65795188,-12.53837162
43.65158322,-12.78687759
44.66835922,-13.03324699
45.70881896,-13.27724953
46.77351413,-13.5186643
47.86300923,-13.75728045
48.97788194,-13.99289786
50.11872336,-14.22532768
51.2861384,-14.4543928
52.48074602,-14.6799282
53.70317964,-14.9017813
54.95408739,-15.11981209
56.23413252,-15.33389332
57.54399373,-15.54391054
58.88436554,-15.74976201
60.25595861,-15.95135865
61.65950019,-16.14862387
63.09573445,-16.34149327
64.5654229,-16.52991443
66.0693448,-16.7138465
67.60829754,-16.89325985
69.18309709,-17.06813562
70.79457844,-17.23846524
72.44359601,-17.40425
74.13102413,-17.56550046
75.8577575,-17.72223596
77.62471166,-17.87448408
79.43282347,-18.02228005
81.28305162,-18.16566626
83.17637711,-18.30469166
85.11380382,-18.43941119
87.096359,-18.56988533
89.12509381,-18.6961795
91.20108394,-18.81836354
93.32543008,-18.93651127
95.4992586,-19.05069998
97.7237221,-19.16100997
100,-19.26752409
102.3292992,-19.37032739
104.7128548,-19.46950666
107.1519305,-19.56515008
109.6478196,-19.65734688
112.2018454,-19.74618703
114.8153621,-19.83176089
117.4897555,-19.91415898
120.2264435,-19.99347169
123.0268771,-20.06978907
125.8925412,-20.14320058
128.8249552,-20.21379494
131.8256739,-20.2816599
134.8962883,-20.34688213
138.0384265,-20.40954706
141.2537545,-20.46973873
144.5439771,-20.52753973
147.9108388,-20.58303106
151.3561248,-20.63629208
154.8816619,-20.68740043
158.4893192,-20.73643196
162.1810097,-20.78346071
165.9586907,-20.82855884
169.8243652,-20.87179665
173.7800829,-20.9132425
177.827941,-20.95296285
181.9700859,-20.99102224
186.2087137,-21.02748329
190.5460718,-21.0624067
194.98446,-21.09585127
199.5262315,-21.12787392
204.1737945,-21.15852973
208.9296131,-21.1878719
213.796209,-21.21595186
218.7761624,-21.24281925
223.8721139,-21.26852196
229.0867653,-21.29310617
234.4228815,-21.31661639
239.8832919,-21.33909549
245.4708916,-21.36058474
251.1886432,-21.38112386
257.0395783,-21.40075104
263.0267992,-21.41950299
269.1534804,-21.43741499
275.4228703,-21.45452091
281.8382931,-21.47085326
288.4031503,-21.48644324
295.1209227,-21.50132077
301.995172,-21.51551452
309.0295433,-21.52905196
316.227766,-21.54195938
323.5936569,-21.55426198
331.1311215,-21.56598382
338.8441561,-21.57714793
346.7368505,-21.58777631
354.8133892,-21.59788997
363.0780548,-21.60750895
371.5352291,-21.61665238
380.1893963,-21.62533847
389.045145,-21.6335846
398.1071706,-21.64140726
407.3802778,-21.64882217
416.8693835,-21.65584424
426.5795188,-21.66248762
436.5158322,-21.66876574
446.6835922,-21.67469129
457.0881896,-21.68027628
467.7351413,-21.68553205
478.6300923,-21.69046928
489.7788194,-21.69509803
501.1872336,-21.69942772
512.861384,-21.70346721
524.8074602,-21.70722473
537.0317964,-21.71070799
549.5408739,-21.7139241
562.3413252,-21.71687966
575.4399373,-21.71958074
588.8436554,-21.72203287
602.5595861,-21.7242411
616.5950019,-21.72620997
630.9573445,-21.72794353
645.654229,-21.72944533
660.693448,-21.73071848
676.0829754,-21.7317656
691.8309709,-21.73258884
707.9457844,-21.73318991
724.4359601,-21.73357003
741.3102413,-21.73373
758.577575,-21.73367014
776.2471166,-21.73339034
794.3282347,-21.73289
812.8305162,-21.73216812
831.7637711,-21.73122318
851.1380382,-21.73005326
870.96359,-21.72865594
891.2509381,-21.72702834
912.0108394,-21.72516711
933.2543008,-21.72306843
954.992586,-21.72072797
977.237221,-21.71814094
1000,-21.71530202
1023.292992,-21.71220539
1047.128548,-21.70884469
1071.519305,-21.70521304
1096.478196,-21.70130301
1122.018454,-21.69710662
1148.153621,-21.69261528
1174.897555,-21.68781985
1202.264435,-21.68271055
1230.268771,-21.67727699
1258.925412,-21.67150815
1288.249552,-21.66539231
1318.256739,-21.65891709
1348.962883,-21.65206943
1380.384265,-21.64483549
1412.537545,-21.63720072
1445.439771,-21.62914977
